,localpressurecumulative,sunhourscumulative,avghumidcumulative,avgtempmean,maxtempmcummulative,mintempmean
82,84226.40000000002,515.8000000000001,4471,15.9972602739726,873.6999999999999,12.158082191780824
447,83962.4,546.0999999999999,4325,15.469041095890413,963.4,11.477808219178081
812,83852.69999999998,567.4000000000001,4241,15.047945205479436,846.4999999999995,11.195342465753427
1177,84433.6,417.8000000000001,4770,15.29508196721312,812.7,11.46857923497266
1543,83827.79999999999,556.3000000000001,4383,14.691232876712334,791.6999999999999,10.881095890410954
2273,84043.50000000001,493.7999999999999,4315,15.81698630136987,833.8000000000003,12.075068493150676
2638,83789.2,570.8999999999997,3794,15.662568306010906,909.2000000000002,11.958469945355189
3004,83939.09999999999,388.2,4742,15.679178082191783,825.5,11.776438356164382
3369,83898.0,493.30000000000024,4104,15.252054794520554,776.2,11.530958904109593
4099,83944.2,431.0000000000002,4665,15.755191256830603,864.4000000000002,12.19344262295082
4465,83947.3,507.0000000000001,4246,15.700547945205466,916.8000000000002,11.956164383561639
4830,83901.8,509.6,4090,15.241917808219181,819.0999999999998,11.808219178082197
5195,83825.9,490.2000000000001,4291,15.63095890410958,817.7999999999997,12.210684931506846
5560,83897.30000000002,479.1999999999998,4442,15.049180327868857,940.8999999999999,11.423224043715843
5926,84044.80000000003,463.99999999999994,4230,15.87945205479453,819.0999999999999,12.32794520547944
6291,83705.20000000001,464.0,4197,16.14383561643836,828.5000000000001,12.684383561643841
6656,83840.3,477.00000000000006,4488,16.912328767123295,986.4999999999998,13.52109589041095
7021,83855.59999999995,492.49999999999994,4135,15.396994535519124,827.3000000000001,11.993442622950818
7387,83849.70000000003,549.1999999999999,4193,15.085479452054779,835.1000000000001,11.626027397260271
7752,83952.70000000003,488.1999999999998,4392,16.01479452054794,899.0,12.666849315068491
8117,83994.40000000001,561.9000000000002,4332,15.760273972602743,895.9999999999999,12.383287671232873
8482,83861.09999999998,542.3000000000001,4341,14.981420765027329,620.1000000000001,11.663387978142069
9213,83825.30000000002,494.40000000000003,4265,15.205753424657525,746.8000000000002,11.924383561643834
9578,83870.09999999999,452.90000000000003,4587,16.304383561643828,918.8000000000003,12.815342465753426
9943,83960.1,481.7000000000001,4262,15.468579234972667,902.8000000000002,12.0948087431694
10309,84119.59999999999,431.1999999999999,4614,16.41397260273973,984.5000000000003,13.20547945205478
10674,84232.30000000003,418.79999999999995,4580,17.05671232876712,917.0000000000001,13.832602739726036
11039,83870.99999999999,516.2,4172,16.43342465753425,915.6,13.265205479452058
11404,84019.50000000001,428.90000000000003,4646,16.026229508196728,926.5000000000001,12.737158469945358
11770,83939.1,481.0,4412,15.542739726027376,894.7999999999998,12.32109589041096
12500,83919.89999999998,521.9999999999999,4205,16.3709589041096,911.6999999999998,13.04821917808219
12865,83872.50000000001,511.0999999999998,4043,15.843989071038258,875.8000000000002,12.386612021857923
13231,83870.80000000003,562.9,4104,16.73095890410957,996.5000000000002,13.226849315068504
13596,84036.99999999999,458.20000000000005,4856,16.788493150684936,919.2,13.494794520547954
13961,83847.90000000001,524.1000000000001,4061,17.09068493150686,976.0999999999999,13.663287671232876
14326,83902.50000000001,512.7999999999998,3691,16.893442622950825,926.8000000000002,13.61256830601091
14692,83835.59999999998,488.7,3950,16.549315068493147,914.2000000000004,13.169041095890405
15057,83833.2,521.1,3850,16.771506849315088,1089.9,13.404931506849321
15422,84004.60000000002,515.5,4060,16.056438356164378,839.9000000000001,12.847397260273963
15787,83914.59999999996,551.0000000000001,3834,17.365846994535524,987.3,13.888251366120217
16153,83833.39999999998,472.0,3941,16.25479452054794,895.1999999999997,12.843835616438364
16518,84017.40000000001,423.2999999999999,4029,16.452602739726036,884.3999999999999,13.41315068493151
16883,84081.7,530.5,3620,17.027123287671234,1022.5999999999998,13.743013698630149
17614,83963.00000000003,430.69999999999993,4056,16.736164383561622,978.4999999999999,13.618082191780811
17979,83953.79999999997,457.3,4429,16.952328767123287,954.4000000000004,13.619178082191786
18344,83883.30000000002,536.8000000000001,3716,16.52027397260273,877.0999999999999,13.173424657534234
18709,83980.80000000005,427.1999999999999,4205,16.32650273224044,785.9000000000001,13.169672131147546
19075,83949.30000000005,564.0999999999999,3999,17.141917808219183,997.5000000000002,13.643561643835618
19440,84088.50000000001,506.2999999999999,4074,16.642739726027415,912.8999999999999,13.315616438356157
19805,84017.0,471.3999999999999,4693,16.45479452054793,954.6000000000001,12.806575342465756
20170,84234.9,476.0999999999999,4755,16.470218579234984,1017.5999999999997,12.771584699453546
20536,83949.7,569.7000000000002,4373,7.09,998.1000000000004,2.814444444444445
